"","season","points_home","points_away","home_win"
"17631",2018,120,117,"Won"
"17632",2018,122,125,"Lost"
"17633",2018,104,115,"Lost"
"17634",2018,106,112,"Lost"
"17635",2018,104,114,"Lost"
"17636",2018,148,147,"Won"
"17637",2018,111,98,"Won"
"17638",2018,106,102,"Won"
"17639",2018,99,113,"Lost"
"17640",2018,98,97,"Won"
"17641",2018,125,123,"Won"
"17642",2018,111,106,"Won"
"17643",2018,127,89,"Won"
"17644",2018,91,106,"Lost"
"17645",2018,131,122,"Won"
"17646",2018,139,148,"Lost"
"17647",2018,97,106,"Lost"
"17648",2018,118,110,"Won"
"17649",2018,111,126,"Lost"
"17650",2018,129,120,"Won"
"17651",2018,122,110,"Won"
"17652",2018,121,111,"Won"
"17653",2018,101,112,"Lost"
"17654",2018,120,118,"Won"
"17655",2018,129,107,"Won"
"17656",2018,134,107,"Won"
"17657",2018,117,113,"Won"
"17658",2018,109,112,"Lost"
"17659",2018,107,108,"Lost"
"17660",2018,88,118,"Lost"
"17661",2018,115,108,"Won"
"17662",2018,107,104,"Won"
"17663",2018,121,112,"Won"
"17664",2018,99,90,"Won"
"17665",2018,127,125,"Won"
"17666",2018,99,112,"Lost"
"17667",2018,120,104,"Won"
"17668",2018,130,120,"Won"
"17669",2018,120,111,"Won"
"17670",2018,103,87,"Won"
"17671",2018,102,101,"Won"
"17672",2018,143,120,"Won"
"17673",2018,117,104,"Won"
"17674",2018,108,124,"Lost"
"17675",2018,120,118,"Won"
"17676",2018,125,105,"Won"
"17677",2018,105,90,"Won"
"17678",2018,120,129,"Lost"
"17679",2018,99,104,"Lost"
"17680",2018,112,123,"Lost"
"17681",2018,125,134,"Lost"
"17682",2018,99,90,"Won"
"17683",2018,112,117,"Lost"
"17684",2018,83,103,"Lost"
"17685",2018,120,103,"Won"
"17686",2018,117,110,"Won"
"17687",2018,119,106,"Won"
"17688",2018,106,125,"Lost"
"17689",2018,107,122,"Lost"
"17690",2018,107,117,"Lost"
"17691",2018,122,117,"Won"
"17692",2018,102,96,"Won"
"17693",2018,116,92,"Won"
"17694",2018,122,112,"Won"
"17695",2018,101,119,"Lost"
"17696",2018,128,129,"Lost"
"17697",2018,117,95,"Won"
"17698",2018,127,118,"Won"
"17699",2018,135,130,"Won"
"17700",2018,120,125,"Lost"
"17701",2018,148,129,"Won"
"17702",2018,99,93,"Won"
"17703",2018,116,88,"Won"
"17704",2018,101,127,"Lost"
"17705",2018,141,102,"Won"
"17706",2018,115,117,"Lost"
"17707",2018,96,103,"Lost"
"17708",2018,136,94,"Won"
"17709",2018,92,105,"Lost"
"17710",2018,107,119,"Lost"
"17711",2018,108,106,"Won"
"17712",2018,132,122,"Won"
"17713",2018,108,118,"Lost"
"17714",2018,129,103,"Won"
"17715",2018,129,137,"Lost"
"17716",2018,94,113,"Lost"
"17717",2018,107,109,"Lost"
"17718",2018,110,118,"Lost"
"17719",2018,127,112,"Won"
"17720",2018,84,96,"Lost"
"17721",2018,134,129,"Won"
"17722",2018,121,103,"Won"
"17723",2018,101,111,"Lost"
"17724",2018,125,118,"Won"
"17725",2018,102,89,"Won"
"17726",2018,115,131,"Lost"
"17727",2018,98,111,"Lost"
"17728",2018,88,95,"Lost"
"17729",2018,113,108,"Won"
"17730",2018,115,101,"Won"
"17731",2018,106,107,"Lost"
"17732",2018,112,118,"Lost"
"17733",2018,98,125,"Lost"
"17734",2018,115,108,"Won"
"17735",2018,100,92,"Won"
"17736",2018,99,113,"Lost"
"17737",2018,102,118,"Lost"
"17738",2018,128,112,"Won"
"17739",2018,136,122,"Won"
"17740",2018,93,89,"Won"
"17741",2018,107,100,"Won"
"17742",2018,92,105,"Lost"
"17743",2018,117,114,"Won"
"17744",2018,104,113,"Lost"
"17745",2018,120,123,"Lost"
"17746",2018,126,94,"Won"
"17747",2018,89,105,"Lost"
"17748",2018,90,114,"Lost"
"17749",2018,107,89,"Won"
"17750",2018,99,97,"Won"
"17751",2018,99,105,"Lost"
"17752",2018,135,113,"Won"
"17753",2018,132,105,"Won"
"17754",2018,116,113,"Won"
"17755",2018,105,115,"Lost"
"17756",2018,117,126,"Lost"
"17757",2018,122,117,"Won"
"17758",2018,116,121,"Lost"
"17759",2018,126,124,"Won"
"17760",2018,105,121,"Lost"
"17761",2018,101,92,"Won"
"17762",2018,100,132,"Lost"
"17763",2018,112,104,"Won"
"17764",2018,92,95,"Lost"
"17765",2018,118,123,"Lost"
"17766",2018,101,104,"Lost"
"17767",2018,122,108,"Won"
"17768",2018,118,112,"Won"
"17769",2018,103,98,"Won"
"17770",2018,120,123,"Lost"
"17771",2018,111,125,"Lost"
"17772",2018,132,119,"Won"
"17773",2018,97,106,"Lost"
"17774",2018,116,102,"Won"
"17775",2018,114,126,"Lost"
"17776",2018,106,103,"Won"
"17777",2018,111,115,"Lost"
"17778",2018,126,110,"Won"
"17779",2018,120,111,"Won"
"17780",2018,91,95,"Lost"
"17781",2018,109,99,"Won"
"17782",2018,94,100,"Lost"
"17783",2018,101,106,"Lost"
"17784",2018,121,119,"Won"
"17785",2018,96,99,"Lost"
"17786",2018,106,101,"Won"
"17787",2018,108,99,"Won"
"17788",2018,132,95,"Won"
"17789",2018,106,102,"Won"
"17790",2018,118,126,"Lost"
"17791",2018,122,116,"Won"
"17792",2018,106,120,"Lost"
"17793",2018,105,120,"Lost"
"17794",2018,110,106,"Won"
"17795",2018,123,103,"Won"
"17796",2018,114,110,"Won"
"17797",2018,99,111,"Lost"
"17798",2018,110,114,"Lost"
"17799",2018,122,120,"Won"
"17800",2018,101,121,"Lost"
"17801",2018,107,118,"Lost"
"17802",2018,94,98,"Lost"
"17803",2018,114,108,"Won"
"17804",2018,120,105,"Won"
"17805",2018,123,114,"Won"
"17806",2018,106,98,"Won"
"17807",2018,91,118,"Lost"
"17808",2018,109,127,"Lost"
"17809",2018,88,104,"Lost"
"17810",2018,101,87,"Won"
"17811",2018,116,106,"Won"
"17812",2018,103,122,"Lost"
"17813",2018,123,94,"Won"
"17814",2018,85,105,"Lost"
"17815",2018,107,99,"Won"
"17816",2018,121,93,"Won"
"17817",2018,104,109,"Lost"
"17818",2018,111,130,"Lost"
"17819",2018,120,95,"Won"
"17820",2018,116,114,"Won"
"17821",2018,95,103,"Lost"
"17822",2018,115,117,"Lost"
"17823",2018,135,115,"Won"
"17824",2018,101,103,"Lost"
"17825",2018,111,99,"Won"
"17826",2018,108,118,"Lost"
"17827",2018,105,113,"Lost"
"17828",2018,119,90,"Won"
"17829",2018,103,117,"Lost"
"17830",2018,138,134,"Won"
"17831",2018,124,102,"Won"
"17832",2018,122,116,"Won"
"17833",2018,98,93,"Won"
"17834",2018,115,117,"Lost"
"17835",2018,113,116,"Lost"
"17836",2018,115,99,"Won"
"17837",2018,94,112,"Lost"
"17838",2018,128,112,"Won"
"17839",2018,101,100,"Won"
"17840",2018,114,95,"Won"
"17841",2018,96,120,"Lost"
"17842",2018,111,109,"Won"
"17843",2018,135,105,"Won"
"17844",2018,128,138,"Lost"
"17845",2018,120,115,"Won"
"17846",2018,117,108,"Won"
"17847",2018,142,145,"Lost"
"17848",2018,101,111,"Lost"
"17849",2018,101,105,"Lost"
"17850",2018,129,112,"Won"
"17851",2018,147,140,"Won"
"17852",2018,109,129,"Lost"
"17853",2018,131,97,"Won"
"17854",2018,149,107,"Won"
"17855",2018,142,126,"Won"
"17856",2018,124,86,"Won"
"17857",2018,111,142,"Lost"
"17858",2018,107,100,"Won"
"17859",2018,109,102,"Won"
"17860",2018,112,94,"Won"
"17861",2018,93,108,"Lost"
"17862",2018,100,94,"Won"
"17863",2018,115,107,"Won"
"17864",2018,117,121,"Lost"
"17865",2018,105,108,"Lost"
"17866",2018,138,140,"Lost"
"17867",2018,114,133,"Lost"
"17868",2018,116,109,"Won"
"17869",2018,114,119,"Lost"
"17870",2018,116,113,"Won"
"17871",2018,95,101,"Lost"
"17872",2018,104,109,"Lost"
"17873",2018,112,108,"Won"
"17874",2018,105,103,"Won"
"17875",2018,110,106,"Won"
"17876",2018,122,112,"Won"
"17877",2018,102,93,"Won"
"17878",2018,104,97,"Won"
"17879",2018,110,102,"Won"
"17880",2018,121,123,"Lost"
"17881",2018,113,106,"Won"
"17882",2018,106,121,"Lost"
"17883",2018,122,105,"Won"
"17884",2018,141,113,"Won"
"17885",2018,115,119,"Lost"
"17886",2018,113,95,"Won"
"17887",2018,127,96,"Won"
"17888",2018,146,109,"Won"
"17889",2018,115,99,"Won"
"17890",2018,121,100,"Won"
"17891",2018,154,147,"Won"
"17892",2018,112,102,"Won"
"17893",2018,135,108,"Won"
"17894",2018,123,106,"Won"
"17895",2018,116,100,"Won"
"17896",2018,109,116,"Lost"
"17897",2018,96,86,"Won"
"17898",2018,140,124,"Won"
"17899",2018,104,94,"Won"
"17900",2018,106,93,"Won"
"17901",2018,124,112,"Won"
"17902",2018,113,100,"Won"
"17903",2018,115,123,"Lost"
"17904",2018,132,115,"Won"
"17905",2018,99,103,"Lost"
"17906",2018,104,101,"Won"
"17907",2018,117,119,"Lost"
"17908",2018,115,111,"Won"
"17909",2018,122,95,"Won"
"17910",2018,128,109,"Won"
"17911",2018,107,119,"Lost"
"17912",2018,116,95,"Won"
"17913",2018,125,113,"Won"
"17914",2018,114,102,"Won"
"17915",2018,114,95,"Won"
"17916",2018,97,107,"Lost"
"17917",2018,111,101,"Won"
"17918",2018,111,95,"Won"
"17919",2018,100,117,"Lost"
"17920",2018,108,86,"Won"
"17921",2018,106,96,"Won"
"17922",2018,106,82,"Won"
"17923",2018,98,116,"Lost"
"17924",2018,121,105,"Won"
"17925",2018,113,119,"Lost"
"17926",2018,123,110,"Won"
"17927",2018,105,110,"Lost"
"17928",2018,106,100,"Won"
"17929",2018,98,133,"Lost"
"17930",2018,116,123,"Lost"
"17931",2018,108,88,"Won"
"17932",2018,110,101,"Won"
"17933",2018,123,127,"Lost"
"17934",2018,91,117,"Lost"
"17935",2018,114,93,"Won"
"17936",2018,115,109,"Won"
"17937",2018,116,119,"Lost"
"17938",2018,100,109,"Lost"
"17939",2018,120,103,"Won"
"17940",2018,144,112,"Won"
"17941",2018,111,121,"Lost"
"17942",2018,112,119,"Lost"
"17943",2018,109,111,"Lost"
"17944",2018,125,107,"Won"
"17945",2018,113,117,"Lost"
"17946",2018,134,135,"Lost"
"17947",2018,84,122,"Lost"
"17948",2018,92,117,"Lost"
"17949",2018,114,98,"Won"
"17950",2018,126,121,"Won"
"17951",2018,115,102,"Won"
"17952",2018,84,112,"Lost"
"17953",2018,94,101,"Lost"
"17954",2018,127,132,"Lost"
"17955",2018,100,107,"Lost"
"17956",2018,122,116,"Won"
"17957",2018,121,98,"Won"
"17958",2018,115,108,"Won"
"17959",2018,108,113,"Lost"
"17960",2018,113,119,"Lost"
"17961",2018,116,108,"Won"
"17962",2018,125,100,"Won"
"17963",2018,113,101,"Won"
"17964",2018,120,111,"Won"
"17965",2018,123,114,"Won"
"17966",2018,122,102,"Won"
"17967",2018,109,132,"Lost"
"17968",2018,109,107,"Won"
"17969",2018,104,113,"Lost"
"17970",2018,95,89,"Won"
"17971",2018,105,103,"Won"
"17972",2018,129,95,"Won"
"17973",2018,121,114,"Won"
"17974",2018,129,115,"Won"
"17975",2018,104,108,"Lost"
"17976",2018,130,126,"Won"
"17977",2018,111,108,"Won"
"17978",2018,103,112,"Lost"
"17979",2018,129,97,"Won"
"17980",2018,118,122,"Lost"
"17981",2018,105,115,"Lost"
"17982",2018,111,122,"Lost"
"17983",2018,100,87,"Won"
"17984",2018,125,88,"Won"
"17985",2018,116,87,"Won"
"17986",2018,92,101,"Lost"
"17987",2018,118,94,"Won"
"17988",2018,120,123,"Lost"
"17989",2018,114,112,"Won"
"17990",2018,102,99,"Won"
"17991",2018,102,118,"Lost"
"17992",2018,107,118,"Lost"
"17993",2018,127,113,"Won"
"17994",2018,112,96,"Won"
"17995",2018,117,116,"Won"
"17996",2018,97,114,"Lost"
"17997",2018,109,110,"Lost"
"17998",2018,106,95,"Won"
"17999",2018,120,122,"Lost"
"18000",2018,121,129,"Lost"
"18001",2018,134,132,"Won"
"18002",2018,104,106,"Lost"
"18003",2018,94,119,"Lost"
"18004",2018,95,87,"Won"
"18005",2018,122,119,"Won"
"18006",2018,111,103,"Won"
"18007",2018,127,118,"Won"
"18008",2018,95,109,"Lost"
"18009",2018,113,109,"Won"
"18010",2018,121,114,"Won"
"18011",2018,101,127,"Lost"
"18012",2018,117,96,"Won"
"18013",2018,95,98,"Lost"
"18014",2018,105,89,"Won"
"18015",2018,119,103,"Won"
"18016",2018,111,103,"Won"
"18017",2018,92,112,"Lost"
"18018",2018,91,115,"Lost"
"18019",2018,122,117,"Won"
"18020",2018,112,114,"Lost"
"18021",2018,129,127,"Won"
"18022",2018,121,118,"Won"
"18023",2018,99,107,"Lost"
"18024",2018,132,111,"Won"
"18025",2018,149,146,"Won"
"18026",2018,126,101,"Won"
"18027",2018,94,87,"Won"
"18028",2018,108,101,"Won"
"18029",2018,120,116,"Won"
"18030",2018,106,107,"Lost"
"18031",2018,98,86,"Won"
"18032",2018,126,110,"Won"
"18033",2018,106,114,"Lost"
"18034",2018,107,114,"Lost"
"18035",2018,107,120,"Lost"
"18036",2018,90,80,"Won"
"18037",2018,124,98,"Won"
"18038",2018,90,120,"Lost"
"18039",2018,102,99,"Won"
"18040",2018,112,104,"Won"
"18041",2018,101,99,"Won"
"18042",2018,125,121,"Won"
"18043",2018,110,99,"Won"
"18044",2018,90,129,"Lost"
"18045",2018,131,109,"Won"
